Peleador_A,Peleador_B,DATE,WINNER,METHOD,TIME,KD_A,KD_B,SIG_STR_A,SIG_STR_B,TOTAL_STR_A,TOTAL_STR_B,TD_A,TD_B,TD_PORC_A,TD_PORC_B,SUB_ATT_A,SUB_ATT_B,REV_A,REV_B,CTRL_A,CTRL_B,STR_HEAD_A,STR_HEAD_B,STR_BODY_A,STR_BODY_B,STR_LEG_A,STR_LEG_B,STR_DISTANCE_A,STR_DISTANCE_B,STR_CLINCH_A,STR_CLINCH_B,STR_GROUND_A,STR_GROUND_B
Rafael Dos Anjos,Renato Moicano,"March 05, 2022",1,Decision - Unanimous,TIME: 5:00,1,0,52%,51%,179 of 318,99 of 185,5 of 15,0 of 3,33%,0%,0,0,0,0,13:22,0:30,119 of 255,77 of 158,23 of 24,8 of 11,7 of 7,3 of 3,84 of 198,81 of 164,7 of 8,7 of 7,58 of 80,0 of 1
Edson Barboza,Bryce Mitchell,"March 05, 2022",1,Decision - Unanimous,TIME: 5:00,0,1,43%,72%,23 of 46,182 of 209,0 of 0,4 of 4,---,100%,0,0,0,0,0:02,11:28,3 of 17,28 of 40,6 of 12,4 of 5,7 of 8,2 of 2,15 of 36,9 of 18,0 of 0,0 of 0,1 of 1,25 of 29
Kevin Holland,Alex Oliveira,"March 05, 2022",1,KO/TKO,TIME: 0:38,1,0,65%,47%,51 of 77,21 of 44,0 of 0,2 of 3,---,66%,0,1,0,0,0:15,0:22,24 of 48,6 of 28,3 of 5,7 of 8,23 of 23,8 of 8,34 of 52,20 of 43,0 of 1,0 of 0,16 of 23,1 of 1
Serghei Spivac,Greg Hardy,"March 05, 2022",1,KO/TKO,TIME: 2:16,0,0,51%,58%,17 of 30,7 of 12,3 of 4,0 of 0,75%,---,0,0,0,0,1:21,0:00,14 of 27,3 of 8,0 of 0,1 of 1,0 of 0,3 of 3,0 of 7,7 of 12,0 of 0,0 of 0,14 of 20,0 of 0
Jalin Turner,Jamie Mullarkey,"March 05, 2022",1,KO/TKO,TIME: 0:46,1,0,46%,59%,53 of 112,45 of 70,1 of 1,1 of 3,100%,33%,0,0,0,0,0:02,1:31,34 of 86,22 of 41,17 of 23,7 of 12,1 of 2,6 of 6,44 of 96,30 of 53,4 of 5,2 of 2,4 of 10,3 of 4
Marina Rodriguez,Yan Xiaonan,"March 05, 2022",1,Decision - Split,TIME: 5:00,0,0,36%,42%,79 of 207,66 of 143,0 of 0,2 of 4,---,50%,0,0,0,0,0:41,1:33,46 of 166,37 of 105,18 of 19,7 of 9,8 of 15,12 of 18,59 of 182,48 of 121,13 of 18,8 of 11,0 of 0,0 of 0
Nicolae Negumereanu,Kennedy Nzechukwu,"March 05, 2022",1,Decision - Split,TIME: 5:00,0,0,40%,50%,81 of 178,97 of 192,1 of 5,0 of 0,20%,---,0,0,0,0,3:28,0:00,36 of 126,84 of 177,7 of 10,11 of 13,21 of 24,0 of 0,55 of 150,92 of 187,9 of 10,3 of 3,0 of 0,0 of 0
Maryna Moroz,Mariya Agapova,"March 05, 2022",1,Submission,TIME: 3:27,0,0,66%,59%,51 of 74,72 of 86,2 of 5,0 of 0,40%,---,3,0,0,1,6:43,0:40,21 of 33,7 of 15,7 of 8,9 of 9,0 of 1,0 of 3,2 of 8,4 of 15,7 of 7,12 of 12,19 of 27,0 of 0
Brian Kelleher,Umar Nurmagomedov,"March 05, 2022",1,Submission,TIME: 3:15,0,0,5%,69%,1 of 19,21 of 29,0 of 0,1 of 5,---,20%,0,1,0,0,0:06,1:27,0 of 13,9 of 15,0 of 4,7 of 9,1 of 2,2 of 2,1 of 18,13 of 21,0 of 1,5 of 5,0 of 0,0 of 0
Tim Elliott,Tagir Ulanbekov,"March 05, 2022",1,Decision - Unanimous,TIME: 5:00,1,0,44%,48%,117 of 227,111 of 212,3 of 9,2 of 10,33%,20%,0,1,0,0,0:52,4:55,30 of 113,70 of 162,15 of 26,15 of 19,34 of 40,5 of 5,64 of 160,65 of 158,15 of 19,23 of 26,0 of 0,2 of 2
Devonte Smith,Ludovit Klein,"March 05, 2022",1,Decision - Split,TIME: 5:00,0,0,54%,63%,80 of 125,80 of 117,0 of 3,0 of 2,0%,0%,0,0,0,0,0:14,6:39,19 of 58,25 of 56,25 of 30,25 of 28,9 of 10,10 of 11,31 of 73,42 of 72,22 of 25,18 of 23,0 of 0,0 of 0
Dustin Jacoby,Michal Oleksiejczuk,"March 05, 2022",1,Decision - Unanimous,TIME: 5:00,0,0,36%,39%,107 of 269,72 of 176,1 of 2,1 of 2,50%,50%,0,0,0,0,3:10,0:17,74 of 222,59 of 160,13 of 19,10 of 13,2 of 2,0 of 0,70 of 214,66 of 170,18 of 28,3 of 3,1 of 1,0 of 0
Islam Makhachev,King Green,"February 26, 2022",1,KO/TKO,TIME: 3:23,0,0,43%,69%,30 of 51,11 of 15,1 of 2,0 of 0,50%,---,0,0,0,0,1:57,0:00,10 of 27,2 of 5,2 of 2,6 of 6,2 of 3,1 of 2,3 of 10,4 of 8,2 of 2,3 of 3,9 of 20,2 of 2
Misha Cirkunov,Wellington Turman,"February 26, 2022",1,Submission,TIME: 1:29,0,0,68%,78%,50 of 64,24 of 28,1 of 3,0 of 3,33%,0%,1,2,0,0,3:04,2:15,20 of 33,8 of 12,9 of 10,6 of 6,1 of 1,1 of 1,8 of 16,8 of 12,2 of 2,7 of 7,20 of 26,0 of 0
Ji Yeon Kim,Priscila Cachoeira,"February 26, 2022",1,Decision - Unanimous,TIME: 5:00,0,0,45%,46%,171 of 376,102 of 218,0 of 0,1 of 1,---,100%,0,0,0,0,0:05,0:27,151 of 351,78 of 185,9 of 12,20 of 28,10 of 12,4 of 5,167 of 367,91 of 205,3 of 8,11 of 13,0 of 0,0 of 0
Arman Tsarukyan,Joel Alvarez,"February 26, 2022",1,KO/TKO,TIME: 1:57,0,0,67%,70%,93 of 122,27 of 33,2 of 2,0 of 0,100%,---,0,0,0,0,6:08,0:00,31 of 48,5 of 8,3 of 3,2 of 2,2 of 2,0 of 0,4 of 9,4 of 6,0 of 0,0 of 0,32 of 44,3 of 4
Armen Petrosyan,Gregory Rodrigues,"February 26, 2022",1,Decision - Split,TIME: 5:00,0,0,54%,45%,128 of 232,61 of 133,0 of 0,2 of 3,---,66%,0,2,0,0,0:00,1:34,50 of 139,45 of 114,38 of 47,9 of 12,39 of 45,7 of 7,127 of 231,61 of 133,0 of 0,0 of 0,0 of 0,0 of 0
Rongzhu,Ignacio Bahamondes,"February 26, 2022",1,Submission,TIME: 1:40,0,0,37%,64%,49 of 130,133 of 204,1 of 4,0 of 0,25%,---,0,2,0,0,0:20,1:21,34 of 114,86 of 151,9 of 10,25 of 28,5 of 5,15 of 15,46 of 126,117 of 178,1 of 2,3 of 3,1 of 1,6 of 13
Josiane Nunes,Ramona Pascual,"February 26, 2022",1,Decision - Unanimous,TIME: 5:00,2,0,44%,52%,119 of 245,71 of 121,0 of 0,3 of 10,---,30%,0,0,0,0,0:43,3:41,83 of 205,25 of 71,5 of 6,20 of 22,10 of 11,7 of 7,79 of 192,43 of 89,12 of 17,6 of 6,7 of 13,3 of 5
Terrance McKinney,Fares Ziam,"February 26, 2022",1,Submission,TIME: 2:11,0,0,75%,100%,13 of 16,1 of 1,0 of 0,0 of 0,---,---,1,0,0,0,2:03,0:04,2 of 2,0 of 0,1 of 2,0 of 0,0 of 0,1 of 1,0 of 1,1 of 1,0 of 0,0 of 0,3 of 3,0 of 0
Alejandro Perez,Jonathan Martinez,"February 26, 2022",1,Decision - Unanimous,TIME: 5:00,1,0,35%,51%,52 of 146,74 of 144,0 of 1,0 of 0,0%,---,0,0,0,0,0:02,0:00,34 of 125,36 of 92,8 of 11,23 of 34,10 of 10,15 of 18,50 of 144,72 of 139,2 of 2,2 of 5,0 of 0,0 of 0
Ramiz Brahimaj,Micheal Gillmore,"February 26, 2022",1,Submission,TIME: 2:02,0,0,0%,0%,2 of 4,3 of 5,1 of 1,0 of 0,100%,---,3,0,0,0,1:33,0:00,0 of 1,0 of 1,0 of 0,0 of 0,0 of 0,0 of 1,0 of 1,0 of 2,0 of 0,0 of 0,0 of 0,0 of 0
Victor Altamirano,Carlos Hernandez,"February 26, 2022",1,Decision - Split,TIME: 5:00,0,0,57%,48%,92 of 152,90 of 178,1 of 4,2 of 9,25%,22%,0,0,0,0,1:27,1:22,32 of 87,56 of 134,42 of 46,18 of 26,5 of 5,10 of 12,69 of 125,61 of 135,10 of 12,21 of 35,0 of 1,2 of 2
Johnny Walker,Jamahal Hill,"February 19, 2022",1,KO/TKO,TIME: 2:55,0,1,48%,31%,12 of 25,7 of 20,0 of 0,0 of 0,---,---,0,0,0,0,0:22,0:03,4 of 15,5 of 17,3 of 5,1 of 2,5 of 5,0 of 0,12 of 25,5 of 18,0 of 0,0 of 0,0 of 0,1 of 1
Kyle Daukaus,Jamie Pickett,"February 19, 2022",1,Submission,TIME: 4:59,0,0,66%,55%,19 of 29,5 of 9,3 of 6,0 of 1,50%,0%,2,0,0,0,4:12,0:15,4 of 6,2 of 5,0 of 0,3 of 4,2 of 3,0 of 0,5 of 7,1 of 5,1 of 2,4 of 4,0 of 0,0 of 0
Parker Porter,Alan Baudot,"February 19, 2022",1,Decision - Unanimous,TIME: 5:00,0,0,40%,51%,82 of 150,61 of 113,2 of 8,0 of 0,25%,---,0,0,0,0,6:34,0:24,20 of 80,43 of 94,4 of 4,11 of 11,19 of 22,1 of 2,34 of 94,50 of 101,6 of 7,5 of 6,3 of 5,0 of 0
Jim Miller,Nikolas Motta,"February 19, 2022",1,KO/TKO,TIME: 1:58,1,0,52%,36%,49 of 93,21 of 57,0 of 0,0 of 0,---,---,0,0,0,0,0:34,0:00,24 of 67,17 of 53,6 of 7,2 of 2,18 of 18,2 of 2,34 of 68,21 of 57,3 of 3,0 of 0,11 of 21,0 of 0
Joaquin Buckley,Abdul Razak Alhassan,"February 19, 2022",1,Decision - Split,TIME: 5:00,0,0,33%,48%,57 of 159,55 of 103,5 of 8,3 of 4,62%,75%,0,0,0,0,2:05,3:34,32 of 128,40 of 82,18 of 24,3 of 6,1 of 1,3 of 6,45 of 144,22 of 56,5 of 8,5 of 7,1 of 1,19 of 31
Gabriel Benitez,David Onama,"February 19, 2022",1,KO/TKO,TIME: 4:24,0,1,47%,38%,46 of 96,36 of 94,0 of 0,0 of 2,---,0%,0,0,0,0,0:00,0:10,19 of 68,30 of 86,17 of 18,2 of 4,10 of 10,4 of 4,45 of 95,35 of 92,1 of 1,1 of 2,0 of 0,0 of 0
Jessica-Rose Clark,Stephanie Egger,"February 19, 2022",1,Submission,TIME: 3:44,0,0,50%,50%,10 of 13,29 of 34,1 of 1,2 of 2,100%,100%,0,1,0,0,2:01,1:21,1 of 2,5 of 10,0 of 0,0 of 0,1 of 2,0 of 0,2 of 4,0 of 4,0 of 0,0 of 0,0 of 0,5 of 6
Chas Skelly,Mark Striegl,"February 19, 2022",1,KO/TKO,TIME: 2:01,1,0,46%,47%,45 of 63,34 of 44,1 of 3,0 of 2,33%,0%,0,0,0,0,3:43,1:22,12 of 27,4 of 11,2 of 3,1 of 3,0 of 0,3 of 3,7 of 19,7 of 14,3 of 3,0 of 1,4 of 8,1 of 2
Diana Belbita,Gloria de Paula,"February 19, 2022",1,Decision - Unanimous,TIME: 5:00,0,0,34%,50%,124 of 295,113 of 201,0 of 1,1 of 5,0%,20%,0,0,0,0,0:44,5:24,43 of 200,70 of 156,28 of 35,17 of 18,16 of 17,1 of 1,79 of 244,71 of 156,8 of 8,17 of 19,0 of 0,0 of 0
Chad Anheliger,Jesse Strader,"February 19, 2022",1,KO/TKO,TIME: 3:33,2,0,51%,50%,92 of 156,73 of 135,0 of 1,4 of 7,0%,57%,2,0,0,0,1:20,3:20,53 of 110,17 of 64,7 of 13,26 of 39,7 of 7,21 of 23,40 of 90,51 of 112,13 of 22,13 of 14,14 of 18,0 of 0
Jonathan Pearce,Christian Rodriguez,"February 19, 2022",1,Decision - Unanimous,TIME: 5:00,0,0,40%,43%,59 of 102,38 of 77,6 of 10,2 of 2,60%,100%,2,3,0,1,11:17,1:05,9 of 31,21 of 54,5 of 9,5 of 6,4 of 4,0 of 0,10 of 33,23 of 55,5 of 6,2 of 4,3 of 5,1 of 1
Mario Bautista,Jay Perrin,"February 19, 2022",1,Decision - Unanimous,TIME: 5:00,0,0,57%,39%,112 of 173,57 of 122,4 of 6,2 of 5,66%,40%,0,0,1,0,6:30,1:45,43 of 86,16 of 67,17 of 24,19 of 30,12 of 15,7 of 10,39 of 83,33 of 95,29 of 36,9 of 12,4 of 6,0 of 0
Israel Adesanya,Robert Whittaker,"February 12, 2022",1,Decision - Unanimous,TIME: 5:00,1,0,46%,43%,98 of 188,74 of 151,0 of 0,4 of 10,---,40%,0,0,0,0,0:00,3:40,36 of 108,38 of 105,14 of 23,8 of 11,29 of 38,13 of 20,77 of 167,54 of 130,2 of 2,5 of 6,0 of 0,0 of 0
Derrick Lewis,Tai Tuivasa,"February 12, 2022",1,KO/TKO,TIME: 1:40,0,1,62%,66%,31 of 47,35 of 47,2 of 4,0 of 0,50%,---,0,0,0,0,1:48,2:06,24 of 39,12 of 22,3 of 4,9 of 9,0 of 0,3 of 5,11 of 21,8 of 14,8 of 12,16 of 22,8 of 10,0 of 0
Jared Cannonier,Derek Brunson,"February 12, 2022",1,KO/TKO,TIME: 4:29,0,1,61%,44%,61 of 96,48 of 103,1 of 1,3 of 13,100%,23%,0,1,0,0,0:05,2:38,42 of 75,25 of 69,8 of 8,12 of 20,5 of 6,6 of 8,38 of 71,41 of 89,12 of 13,1 of 4,5 of 5,1 of 4
Alexander Hernandez,Renato Moicano,"February 12, 2022",1,Submission,TIME: 1:23,0,0,46%,55%,39 of 81,38 of 65,0 of 1,2 of 6,0%,33%,0,1,0,0,0:05,1:43,19 of 55,25 of 51,8 of 13,6 of 6,10 of 11,2 of 3,35 of 76,26 of 50,1 of 2,4 of 4,1 of 1,3 of 6
King Green,Nasrat Haqparast,"February 12, 2022",1,Decision - Unanimous,TIME: 5:00,0,0,52%,39%,188 of 355,76 of 193,0 of 1,0 of 0,0%,---,0,0,0,0,0:00,0:00,152 of 313,48 of 150,26 of 32,21 of 30,10 of 10,7 of 13,188 of 355,76 of 193,0 of 0,0 of 0,0 of 0,0 of 0
Andrei Arlovski,Jared Vanderaa,"February 12, 2022",1,Decision - Split,TIME: 5:00,0,0,48%,44%,71 of 140,102 of 190,0 of 0,0 of 0,---,---,0,0,0,0,0:00,2:44,40 of 100,30 of 110,19 of 26,24 of 29,5 of 7,16 of 17,60 of 128,55 of 134,4 of 5,15 of 22,0 of 0,0 of 0
Roxanne Modafferi,Casey O'Neill,"February 12, 2022",1,Decision - Split,TIME: 5:00,0,0,33%,58%,148 of 390,230 of 395,2 of 4,0 of 2,50%,0%,0,0,0,0,1:06,0:02,98 of 330,187 of 348,20 of 25,22 of 25,2 of 3,20 of 20,112 of 347,225 of 387,8 of 11,4 of 6,0 of 0,0 of 0
Kyler Phillips,Marcelo Rojo,"February 12, 2022",1,Submission,TIME: 1:48,0,0,48%,35%,90 of 176,57 of 155,3 of 8,0 of 0,37%,---,2,0,0,0,2:33,0:30,52 of 135,32 of 123,14 of 15,5 of 10,14 of 14,18 of 20,63 of 146,53 of 147,8 of 9,2 of 6,9 of 9,0 of 0
Carlos Ulberg,Fabio Cherant,"February 12, 2022",1,Decision - Unanimous,TIME: 5:00,0,0,58%,31%,71 of 117,13 of 41,2 of 2,0 of 0,100%,---,0,0,0,0,1:15,0:22,25 of 66,7 of 30,15 of 19,6 of 10,26 of 27,0 of 1,66 of 111,13 of 41,0 of 0,0 of 0,0 of 1,0 of 0
Mana Martinez,Ronnie Lawrence,"February 12, 2022",1,Decision - Unanimous,TIME: 5:00,2,3,50%,56%,105 of 156,63 of 99,0 of 0,6 of 7,---,85%,1,0,1,1,0:08,8:09,24 of 59,30 of 59,8 of 11,6 of 12,7 of 8,10 of 11,32 of 65,28 of 49,0 of 2,0 of 0,7 of 11,18 of 33
AJ Dobson,Jacob Malkoun,"February 12, 2022",1,Decision - Unanimous,TIME: 5:00,0,0,57%,62%,68 of 110,183 of 255,0 of 0,6 of 16,---,37%,0,0,0,0,0:27,9:17,41 of 79,70 of 118,6 of 6,9 of 9,5 of 5,1 of 1,44 of 78,29 of 57,5 of 9,4 of 7,3 of 3,47 of 64
Douglas Silva de Andrade,Sergey Morozov,"February 12, 2022",1,Submission,TIME: 3:24,3,1,57%,49%,57 of 86,62 of 99,0 of 1,1 of 5,0%,20%,2,0,0,0,0:55,2:30,16 of 40,24 of 56,12 of 14,6 of 7,9 of 10,2 of 2,31 of 56,25 of 54,6 of 7,1 of 1,0 of 1,6 of 10
Jeremiah Wells,Blood Diamond,"February 12, 2022",1,Submission,TIME: 4:38,0,0,78%,33%,23 of 27,1 of 3,1 of 5,0 of 0,20%,---,1,0,0,0,4:25,0:03,14 of 17,0 of 2,1 of 2,1 of 1,0 of 0,0 of 0,0 of 2,0 of 2,1 of 1,1 of 1,14 of 16,0 of 0
William Knight,Maxim Grishin,"February 12, 2022",1,Decision - Unanimous,TIME: 5:00,0,0,30%,77%,32 of 79,88 of 112,3 of 9,0 of 0,33%,---,0,0,0,0,2:37,2:27,9 of 39,16 of 32,5 of 13,21 of 24,7 of 16,32 of 33,16 of 63,62 of 81,5 of 5,3 of 4,0 of 0,4 of 4
Jack Hermansson,Sean Strickland,"February 05, 2022",1,Decision - Split,TIME: 5:00,0,0,38%,46%,137 of 353,161 of 338,0 of 8,0 of 0,0%,---,0,0,0,0,0:31,0:00,22 of 194,125 of 286,64 of 105,24 of 40,51 of 54,4 of 4,134 of 350,151 of 328,3 of 3,2 of 2,0 of 0,0 of 0
Punahele Soriano,Nick Maximov,"February 05, 2022",1,Decision - Split,TIME: 5:00,0,0,71%,64%,74 of 93,60 of 82,0 of 0,11 of 16,---,68%,0,1,0,1,1:37,8:45,28 of 46,19 of 33,17 of 17,6 of 8,0 of 0,4 of 4,20 of 38,15 of 31,2 of 2,10 of 10,23 of 23,4 of 4
Shavkat Rakhmonov,Carlston Harris,"February 05, 2022",1,KO/TKO,TIME: 4:10,1,0,46%,37%,16 of 31,15 of 35,1 of 3,0 of 0,33%,---,0,0,0,0,0:52,0:44,10 of 25,3 of 13,3 of 3,6 of 10,0 of 0,1 of 4,9 of 20,8 of 25,0 of 0,2 of 2,4 of 8,0 of 0
Sam Alvey,Brendan Allen,"February 05, 2022",1,Submission,TIME: 2:10,0,1,42%,66%,24 of 57,36 of 54,0 of 0,0 of 1,---,0%,0,1,0,0,0:07,0:44,20 of 52,15 of 32,2 of 3,14 of 15,2 of 2,7 of 7,24 of 56,32 of 47,0 of 1,2 of 3,0 of 0,2 of 4
Tresean Gore,Bryan Battle,"February 05, 2022",1,Decision - Unanimous,TIME: 5:00,0,0,60%,58%,86 of 126,119 of 203,2 of 3,1 of 8,66%,12%,1,0,0,0,1:16,3:20,31 of 67,49 of 117,15 of 17,46 of 59,11 of 11,17 of 17,42 of 79,105 of 185,11 of 12,7 of 8,4 of 4,0 of 0
Julian Erosa,Steven Peterson,"February 05, 2022",1,Decision - Split,TIME: 5:00,0,0,53%,59%,163 of 300,174 of 276,3 of 5,0 of 2,60%,0%,0,2,0,0,1:52,0:44,120 of 242,113 of 204,30 of 43,15 of 17,5 of 6,20 of 26,141 of 270,133 of 227,9 of 16,15 of 19,5 of 5,0 of 1
Miles Johns,John Castaneda,"February 05, 2022",1,Submission,TIME: 1:38,0,1,40%,39%,34 of 85,68 of 159,0 of 1,0 of 1,0%,0%,0,1,0,0,0:00,1:45,27 of 76,40 of 113,6 of 8,6 of 11,1 of 1,12 of 23,33 of 83,47 of 129,1 of 2,7 of 11,0 of 0,4 of 7
Hakeem Dawodu,Michael Trizano,"February 05, 2022",1,Decision - Unanimous,TIME: 5:00,0,0,65%,52%,189 of 266,94 of 158,0 of 0,1 of 1,---,100%,0,0,0,0,3:46,0:33,60 of 121,36 of 94,52 of 62,25 of 29,29 of 31,9 of 10,123 of 195,54 of 110,18 of 19,16 of 23,0 of 0,0 of 0
Chidi Njokuani,Marc-Andre Barriault,"February 05, 2022",1,KO/TKO,TIME: 0:16,1,0,100%,100%,13 of 13,2 of 2,0 of 0,0 of 0,---,---,0,0,0,0,0:04,0:00,9 of 9,1 of 1,1 of 1,0 of 0,1 of 1,1 of 1,4 of 4,2 of 2,0 of 0,0 of 0,7 of 7,0 of 0
Alexis Davis,Julija Stoliarenko,"February 05, 2022",1,Decision - Unanimous,TIME: 5:00,0,0,70%,49%,171 of 218,93 of 154,1 of 1,0 of 0,100%,---,0,3,0,0,9:09,0:00,55 of 86,40 of 94,9 of 12,14 of 17,21 of 22,2 of 2,41 of 64,51 of 108,1 of 1,1 of 1,43 of 55,4 of 4
Jailton Almeida,Danilo Marques,"February 05, 2022",1,KO/TKO,TIME: 2:57,0,0,58%,---,37 of 60,2 of 2,2 of 2,0 of 0,100%,---,0,0,0,0,2:48,0:00,30 of 51,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,0 of 0,30 of 50,0 of 0
Jason Witt,Phil Rowe,"February 05, 2022",1,KO/TKO,TIME: 2:15,0,1,36%,47%,25 of 43,8 of 17,4 of 7,0 of 0,57%,---,0,0,0,0,5:11,0:01,5 of 15,8 of 16,2 of 6,0 of 1,1 of 1,0 of 0,7 of 20,5 of 14,0 of 1,1 of 1,1 of 1,2 of 2
Malcolm Gordon,Denys Bondar,"February 05, 2022",1,KO/TKO,TIME: 1:22,0,0,27%,80%,6 of 15,4 of 5,1 of 1,1 of 1,100%,100%,1,0,1,0,0:15,0:37,3 of 11,2 of 3,0 of 0,0 of 0,0 of 0,2 of 2,3 of 11,4 of 5,0 of 0,0 of 0,0 of 0,0 of 0
Francis Ngannou,Ciryl Gane,"January 22, 2022",1,Decision - Unanimous,TIME: 5:00,0,0,41%,69%,71 of 139,79 of 107,4 of 5,1 of 3,80%,33%,0,3,1,0,8:29,2:51,9 of 56,15 of 32,21 of 33,20 of 29,13 of 15,28 of 30,34 of 87,57 of 84,6 of 10,6 of 7,3 of 7,0 of 0
Brandon Moreno,Deiveson Figueiredo,"January 22, 2022",1,Decision - Unanimous,TIME: 5:00,0,3,40%,50%,106 of 260,95 of 178,1 of 2,2 of 11,50%,18%,0,0,0,0,0:46,2:18,71 of 214,40 of 106,18 of 27,19 of 26,16 of 18,27 of 37,100 of 252,80 of 160,5 of 7,5 of 7,0 of 0,1 of 2
Michel Pereira,Andre Fialho,"January 22, 2022",1,Decision - Unanimous,TIME: 5:00,0,0,52%,33%,112 of 209,48 of 138,1 of 4,0 of 0,25%,---,0,0,0,0,0:44,0:45,49 of 122,40 of 128,44 of 66,5 of 7,14 of 14,0 of 0,96 of 188,36 of 122,11 of 14,7 of 7,0 of 0,2 of 6
Cody Stamann,Said Nurmagomedov,"January 22, 2022",1,Submission,TIME: 0:47,0,0,25%,53%,1 of 4,7 of 13,0 of 2,0 of 1,0%,0%,0,1,0,0,0:10,0:02,1 of 4,4 of 9,0 of 0,1 of 2,0 of 0,2 of 2,1 of 4,7 of 13,0 of 0,0 of 0,0 of 0,0 of 0
Michael Morales,Trevin Giles,"January 22, 2022",1,KO/TKO,TIME: 4:06,1,0,61%,53%,28 of 44,8 of 15,0 of 1,1 of 4,0%,25%,0,1,1,0,1:05,1:12,23 of 39,3 of 10,0 of 0,1 of 1,3 of 3,4 of 4,12 of 24,8 of 15,0 of 0,0 of 0,14 of 18,0 of 0
Raoni Barcelos,Victor Henry,"January 22, 2022",1,Decision - Unanimous,TIME: 5:00,0,0,48%,51%,134 of 277,222 of 397,1 of 7,0 of 1,14%,0%,0,0,0,0,0:15,1:37,107 of 244,102 of 252,10 of 14,64 of 83,17 of 19,15 of 17,125 of 267,163 of 325,8 of 8,18 of 27,1 of 2,0 of 0
Jack Della Maddalena,Pete Rodriguez,"January 22, 2022",1,KO/TKO,TIME: 2:59,1,0,53%,36%,43 of 81,25 of 69,0 of 0,0 of 0,---,---,0,0,0,0,0:01,0:00,38 of 75,12 of 47,5 of 6,6 of 14,0 of 0,7 of 8,40 of 78,25 of 69,0 of 0,0 of 0,3 of 3,0 of 0
Tony Gravely,Saimon Oliveira,"January 22, 2022",1,Decision - Unanimous,TIME: 5:00,0,0,46%,49%,66 of 132,50 of 87,11 of 15,0 of 0,73%,---,0,4,0,0,11:28,0:15,36 of 87,21 of 53,4 of 6,9 of 13,6 of 6,5 of 5,24 of 50,27 of 62,4 of 7,8 of 9,18 of 42,0 of 0
Matt Frevola,Genaro Valdez,"January 22, 2022",1,KO/TKO,TIME: 3:15,4,0,59%,26%,71 of 114,10 of 38,0 of 0,0 of 1,---,0%,0,0,0,0,1:07,0:08,56 of 93,9 of 36,3 of 7,0 of 0,1 of 1,1 of 2,11 of 27,7 of 27,6 of 15,3 of 11,43 of 59,0 of 0
Silvana Gomez Juarez,Vanessa Demopoulos,"January 22, 2022",1,Submission,TIME: 2:25,1,0,55%,33%,10 of 18,4 of 12,0 of 0,0 of 0,---,---,0,2,0,0,1:11,0:00,9 of 16,0 of 4,0 of 0,2 of 4,1 of 2,2 of 4,3 of 6,4 of 12,0 of 0,0 of 0,7 of 12,0 of 0
Kay Hansen,Jasmine Jasudavicius,"January 22, 2022",1,Decision - Unanimous,TIME: 5:00,0,0,43%,45%,52 of 112,99 of 165,1 of 7,2 of 3,14%,66%,0,0,0,1,1:23,6:04,31 of 81,37 of 89,9 of 15,13 of 21,4 of 5,0 of 0,41 of 96,27 of 79,3 of 4,8 of 13,0 of 1,15 of 18
Calvin Kattar,Giga Chikadze,"January 15, 2022",1,Decision - Unanimous,TIME: 5:00,1,0,35%,36%,157 of 418,129 of 348,2 of 7,0 of 0,28%,---,1,0,1,1,3:42,0:09,127 of 369,94 of 297,13 of 28,27 of 41,4 of 5,7 of 9,135 of 390,127 of 344,2 of 2,1 of 3,7 of 10,0 of 0
Jake Collier,Chase Sherman,"January 15, 2022",1,Submission,TIME: 2:26,0,0,40%,58%,20 of 50,10 of 17,1 of 1,0 of 0,100%,---,1,0,0,0,1:07,0:00,18 of 46,8 of 15,2 of 2,1 of 1,0 of 1,1 of 1,12 of 36,10 of 17,0 of 0,0 of 0,8 of 13,0 of 0
Brandon Royval,Rogerio Bontorin,"January 15, 2022",1,Decision - Split,TIME: 5:00,0,0,30%,48%,81 of 174,39 of 71,0 of 0,8 of 9,---,88%,3,0,1,0,1:43,7:41,21 of 96,16 of 46,15 of 25,2 of 2,4 of 11,10 of 10,28 of 103,27 of 52,1 of 1,0 of 0,11 of 28,1 of 6
Katlyn Cerminara,Jennifer Maia,"January 15, 2022",1,Decision - Unanimous,TIME: 5:00,0,0,40%,30%,81 of 188,60 of 180,1 of 4,0 of 2,25%,0%,0,0,0,0,3:34,0:41,44 of 136,31 of 143,21 of 32,5 of 8,7 of 9,16 of 20,68 of 171,48 of 167,4 of 6,4 of 4,0 of 0,0 of 0
Dakota Bush,Viacheslav Borshchev,"January 15, 2022",1,KO/TKO,TIME: 3:47,0,1,36%,59%,11 of 30,17 of 28,2 of 3,0 of 0,66%,---,0,0,0,1,1:30,0:28,8 of 25,9 of 19,2 of 3,5 of 5,1 of 2,2 of 3,8 of 27,6 of 15,2 of 2,4 of 4,1 of 1,6 of 8
Bill Algeo,Joanderson Brito,"January 15, 2022",1,Decision - Unanimous,TIME: 5:00,0,0,50%,38%,112 of 176,46 of 110,2 of 2,2 of 4,100%,50%,0,0,1,0,5:02,4:54,44 of 90,24 of 83,10 of 22,5 of 9,5 of 6,11 of 12,32 of 85,39 of 97,17 of 23,1 of 6,10 of 10,0 of 1
