Peleador_A,Peleador_B,DATE,WINNER,METHOD,TIME,KD_A,KD_B,SIG_STR_A,SIG_STR_B,TOTAL_STR_A,TOTAL_STR_B,TD_A,TD_B,TD_PORC_A,TD_PORC_B,SUB_ATT_A,SUB_ATT_B,REV_A,REV_B,CTRL_A,CTRL_B,STR_HEAD_A,STR_HEAD_B,STR_BODY_A,STR_BODY_B,STR_LEG_A,STR_LEG_B,STR_DISTANCE_A,STR_DISTANCE_B,STR_CLINCH_A,STR_CLINCH_B,STR_GROUND_A,STR_GROUND_B
Chidi Njokuani,Michal Oleksiejczuk,"August 26, 2023",1,KO/TKO,TIME: 4:16,0,0,50%,61%,30 of 58,54 of 85,0 of 2,1 of 1,0%,100%,0,0,0,0,0:09,1:36,7 of 21,31 of 59,18 of 32,12 of 12,4 of 4,1 of 1,19 of 37,17 of 36,10 of 20,4 of 5,0 of 0,23 of 31
Song Kenan,Rolando Bedoya,"August 26, 2023",1,Decision - Unanimous,TIME: 5:00,1,0,50%,43%,85 of 161,112 of 260,0 of 0,0 of 4,---,0%,0,0,0,0,0:40,0:33,54 of 118,36 of 146,16 of 24,27 of 49,5 of 7,49 of 63,68 of 140,104 of 245,6 of 8,8 of 13,1 of 1,0 of 0
Billy Ray Goff,Yusaku Kinoshita,"August 26, 2023",1,KO/TKO,TIME: 3:49,1,0,47%,32%,43 of 89,17 of 53,0 of 1,0 of 0,0%,---,0,0,0,0,0:05,0:00,13 of 47,15 of 48,13 of 20,2 of 5,14 of 18,0 of 0,36 of 78,17 of 52,2 of 2,0 of 1,2 of 5,0 of 0
Liang Na,JJ Aldrich,"August 26, 2023",1,KO/TKO,TIME: 4:49,0,0,26%,72%,27 of 61,68 of 89,3 of 4,0 of 0,75%,---,0,0,0,1,1:38,5:11,7 of 30,46 of 63,3 of 8,1 of 2,1 of 3,0 of 0,9 of 36,9 of 18,2 of 5,1 of 2,0 of 0,37 of 45
SeungWoo Choi,Jarno Errens,"August 26, 2023",1,Decision - Unanimous,TIME: 5:00,1,1,48%,39%,108 of 179,40 of 88,1 of 1,0 of 4,100%,0%,0,0,0,0,5:21,1:34,22 of 69,13 of 47,8 of 15,6 of 14,26 of 31,11 of 15,51 of 107,30 of 73,2 of 3,0 of 2,3 of 5,0 of 1
Aljamain Sterling,Sean O'Malley,"August 19, 2023",1,KO/TKO,TIME: 0:51,0,1,48%,71%,24 of 46,26 of 36,0 of 2,0 of 0,0%,---,0,0,0,0,0:34,0:18,3 of 12,18 of 25,3 of 10,6 of 9,11 of 13,1 of 1,16 of 33,10 of 16,1 of 2,1 of 1,0 of 0,14 of 18
Zhang Weili,Amanda Lemos,"August 19, 2023",1,Decision - Unanimous,TIME: 5:00,1,0,75%,38%,296 of 358,29 of 68,6 of 7,0 of 0,85%,---,0,2,0,0,16:07,0:34,106 of 150,19 of 57,37 of 42,3 of 4,20 of 25,2 of 2,50 of 77,23 of 61,17 of 18,1 of 2,96 of 122,0 of 0
Neil Magny,Ian Machado Garry,"August 19, 2023",1,Decision - Unanimous,TIME: 5:00,0,0,40%,60%,51 of 93,111 of 171,0 of 2,2 of 2,0%,100%,0,0,0,0,1:10,2:32,10 of 41,32 of 90,7 of 11,16 of 17,10 of 14,43 of 43,25 of 61,84 of 140,2 of 5,4 of 5,0 of 0,3 of 5
Da'Mon Blackshear,Mario Bautista,"August 19, 2023",1,Decision - Unanimous,TIME: 5:00,0,0,51%,57%,108 of 192,102 of 161,4 of 7,2 of 10,57%,20%,0,1,0,0,3:00,4:04,48 of 123,48 of 103,22 of 30,21 of 22,20 of 21,10 of 12,52 of 129,51 of 101,37 of 42,24 of 30,1 of 3,4 of 6
Vicente Luque,Rafael Dos Anjos,"August 19, 2023",1,Decision - Unanimous,TIME: 5:00,0,0,51%,48%,138 of 221,94 of 170,8 of 11,2 of 7,72%,28%,0,1,0,0,12:01,3:54,48 of 115,42 of 108,17 of 19,19 of 23,7 of 7,5 of 5,60 of 127,38 of 105,8 of 8,26 of 27,4 of 6,2 of 4
